 Eis que Jesus vem nas nuvens ; 9971
 Eis que surge um povo forte ; 4427
 Eis-me aqui, Senhor, em teu altar ; 9025
 Ele é a raiz ; 9932
 Ele é a rosa de Sarom ; 2276
 Ele é o Rei dos reis ; 7790
 Ele um dia me chamou ; 1162
 Ele um dia voltará ; 5515
 Ele vive em mim ; 9944
 Ele voltará pra buscar a sua igreja ; 5514
 Ele voltará, sim, ele voltará ; 5516
 Em breve escutarei ; 5513
 Em breve o dia chegará ; 5570
 Em breve, mui breve ; 5534
 Em fervente oração ; 551
 Em me vindo o temor; 3302
 Em meu coração ; 2248
 Em nada ponho a minha fé ; 3360
 Em nossos lábios ; 7777
 Em teu altar, Senhor ; 14
 Em teu nome ; 581
 Em ti eu encontro, ó Deus, toda paz ; 2302
 Em tua presença entramos ; 17
 Em tuas mãos, Senhor; 3325
 Em tuas pisadas ; 9996
 Encontrei o grande amor ; 2300
 Entrega o teu caminho ; 9937
 Entrega o teu caminho ao Senhor ; 1132
 Entrei no tempo de Deus ; 4417
 Entronizado está entre as nações ; 6670
 Envia a tua luz ; 580
 Era um pecador, andava sem Jesus ; 1128
 Era uma oliveira ; 2278
 Eram cem ovelhas ; 1167
 És majestade ; 6629
 És o mais formoso, Jesus ; 7715
 És o pão da vida ; 4448
 Escuta-me, Senhor ; 52
 Esforça-te, tem bom ânimo! ; 3390
 Espera no Senhor, anima-te ; 3364
 Esperei confiantemente no Senhor ; 3365
 Espírito do trino Deus ; 4455
 Espírito Santo, ó Consolador ; 4460
 Esta alegria não vai mais sair ; 8828
 Esta canção ; 9960
 Esta é a voz, a voz do meu amado ; 5539
 Esta paz que sinto em minh’alma ; 2249
 Estamos aqui, ó Deus ; 6654
 Estamos muito alegres ; 8801-A
 Este mundo jamais pode me separar; 2218
 Este mundo não tem a sua paz ; 2250
 Estende tua mão ; 7761
 Estevão avistou; 7814
 Estou a caminhar; 2236
 Estou alegre ; 8822
 Estou aqui pra confessar ; 9018
 Estou confiando ; 3356
 Eu abri meu coração; 9919
 Eu avisto uma terra feliz ; 5554
 Eu desci para o vale de bênção e paz ; 1149
 Eu espero, ansioso, por meu Deus ; 5503
 Eu estava só, sem o Senhor ; 2245
 Eu louvarei, eu louvarei ; 8821
 Eu me lembro quando Jesus me tocou ; 2203
 Eu me prostro em teu altar ; 33
 Eu não saberia caminhar ; 3337
 Eu não sei qual será meu louvor ; 7776
 Eu ouvi da formosa cidade ; 5555
 Eu quero andar nas ruas de ouro ; 8801-B
 Eu quero andar sempre com Jesus ; 9985
 Eu quero cantar; 9974
 Eu quero cantar de gozo e de paz ; 6657
 Eu quero sentir ; 7800
 Eu quero ser o sal da terra ; 9945
 Eu quero ser, Senhor amado ; 4419
 Eu sei que Jesus ; 5528
 Eu só confio no Senhor ; 8802-D
 Eu só quero ser, Senhor ; 4409
 Eu sou do meu amado e ele me tem afeição ; 2277
 Eu sou feliz porque a Bíblia diz ; 8801-D
 Eu sou feliz porque tenho um Deus que me ama ; 2253
 Eu sou pobre e necessitado ; 3334
 Eu sou tão feliz com o meu Jesus ; 2288
 Eu sou uma ovelhinha ; 9907
 Eu te amo, meu Jesus ; 6616
 Eu tenho um amigo ; 2247
 Eu tenho um amigo que me ama ; 8802-A
 Eu tenho um Deus mui, mui, mui grande ; 8809
 Eu tenho um tesouro; 8808
 Eu tenho uma coroa lá no céu ; 8801-C
 Eu tudo posso naquele que me fortalece ; 9922
 Eu venho a ti, Senhor ; 6676
 Eu venho dizer ; 6652
 Eu verei a árvore da vida ; 8824
 Eu vi o Senhor ; 4426
 Eu vim aqui, Senhor ; 9016
 Eu vou contar uma história ; 9027
 Exaltai ao Senhor ; 6620
 Exaltai, exaltai ; 9002
 Existe um alguém que cuida de mim ; 2263
 Existe um lar; 5548
 Fala ao meu coração, Jesus ; 9921
 Fala, Jesus querido ; 4412
 Faze oração ; 9950
 Faz-me inabalável ; 3368
 Felicidade é ter Cristo ao meu lado ; 2240
 Feliz, feliz eu sou ; 2242
 Finda a lida terreal ; 5562
 Firme nas promessas ; 3363
 Flua em mim, Senhor; 9010
 Fluirá como um rio ; 4454
 Fonte da vida ; 6617
 Fonte de águas vivas ; 1134
 Glória e aleluia ; 6605
 Glória pra sempre ao Cordeiro de Deus ; 6624
 Glória, glória ; 8807
 Glorioso és, Jesus ; 6669
 Gozo eu tenho em Jesus ; 8800-F
 Graças dou, ó Senhor (Is.12:13) ; 2220
 Grande Deus, único Deus ; 575
 Grande é o Senhor ; 7707
 Grande é o Senhor e mui digno de ser louvado ; 7705
 Grande tesouro aberto é a Bíblia ; 9947
 Grandioso para mim ; 2279
 Há alguém que cuida de ti ; 3348
 Há hoje alguém esperando ; 1194
 Há momentos que as palavras não resolvem ; 3305
 Há sempre alguém que não provou ; 2252
 Há tanta terra ; 3336
 Há um amigo sempre junto ; 3332
 Há um doce Espírito aqui ; 4453
 Há um lindo país ; 5551
 Há um lugar pra mim ; 5564
 Há um nome que reluz ; 6621
 Há um povo que te adora ; 4437
 Há um rio de águas vivas ; 4463
 Há um ser que vive em mim ; 2272
 Há um só que é digno ; 6631
 Há uma fonte aberta no Calvário ; 1101
 Há uma linda canção de amor ; 9962
 Há uma linda morada ; 9017
 Há uma luz a brilhar ; 4416
 Há uma obra que Deus quer fazer ; 4438
 Há vitória para mim ; 12
 Há vitória sempre em ti, Senhor ; 54
 Haveremos de chegar ; 9961
 Hoje eu não quero pedir ; 9966
 Hoje o Senhor derramou ; 6606
 Hoje sei, Senhor ; 2301
 Hosana ao Filho de Davi ; 9957
 Igreja, corpo de Cristo ; 9981
 Igreja, tu vais subir ; 5510
 Instrumento em tuas mãos ; 4477
 Invoca-me e te responderei ; 557
 Irei cantar e adorar o Rei Jesus ; 9019
 Israel saiu do Egito ; 2212
 Já achei uma flor gloriosa ; 1147
 Já não estou sozinho ; 2244
 Já não tarda o amanhecer ; 5542
 Jerusalém anseio ver ; 9972
 Jerusalém eterna ; 7807
 Jerusalém excelsa ; 7808
 Jerusalém, cidade do meu Rei ; 9001
 Jerusalém, Jerusalém ; 5557
 Jerusalém, suas ruas de ouro ; 5581
 Jesus Cristo é o caminho ; 9973
 Jesus Cristo mudou meu viver ; 2229
 Jesus Cristo voltará ; 7789
 Jesus Cristo voltará com seu grande esplendor ; 5536
 Jesus Cristo, Rei dos reis ; 1179
 Jesus, Deus Santo, Santo, Santo! ; 6644
 Jesus é a rocha inabalável ; 3392
 Jesus é maravilhoso! ; 8800-G
 Jesus é melhor, sim, que ouro e bens ; 1129
 Jesus é o amigo melhor ; 8815
 Jesus é o caminho ; 9917
 Jesus é o Cordeiro ; 1180
 Jesus está às portas ; 5571
 Jesus fez a promessa ; 2266
 Jesus ia seguindo ; 1104
 Jesus ia subindo o monte ; 1102
 Jesus libertou ; 1187
 Jesus me ama ; 9934
 Jesus, Senhor, me chego a ti ; 2306
 Jesus tão belo ; 6622
 Jesus tomou o meu fardo ; 1106
 Jesus vê a sua igreja ; 9000
 Jesus veio e salvou-me ; 6673
 Jesus, vem me abençoar ; 9030
 Jesus viu a multidão ; 9997
 Jesus, a luz divina ; 2217
 Jesus, a minh’alma tem sede de ti ; 3394
 Jesus, agora eu bem sei ; 2261
 Jesus, em tua presença ; 1124
 Jesus, eu te amo e muito ; 6615
 Jesus, Jesus, eu te amo ; 6612
 Jesus, nome precioso ; 2225
 Jesus, o lírio dos vales ; 2275
 Jesus, ó meu Jesus ; 6
 Jesus, o que eu mais quero no mundo ; 4425
 Jesus, quando me lembro ; 9939
 Jesus, quero amar-te ; 4423
 Jesus, sim, vem, do céu em glória ele vem ; 5521
 Jesus, te entronizamos ; 6633
 Jesus, te entronizamos aqui entre nós ; 6632
 Jesus, tu és o meu Deus ; 39
 Junto a ti suplico, ó Pai ; 31
 Junto ao trono de Deus, preparado ; 5565
 Justo és, Senhor ; 7757
 Lá no céu os anjos cantam ; 5549
 Lá no cimo do monte; 562
 Lá no doce porvir ; 9969
 Lâmpada para meus pés ; 9021
 Leva tu contigo o nome ; 1174
 Levantai-vos, ó portais eternos ; 7702
 Lindo! Lindo! Lindo! ; 5552
 Louvado seja o nome do Senhor ; 6666
 Louvai a Jesus ; 6671
 Louvai ao Senhor porque ele é bom; 7714
 Louvai ao Senhor todas as nações ; 7719
 Louvai, servos do Senhor ; 7706
 Louvamos-te, ó Deus ; 7811
 Louvarei ao meu Senhor ; 6636
 Louvor e glória ; 6648
 Mais do teu Santo Espírito; 4462
 Mais perto de Jesus ; 2269
 Mais perto quero estar ; 3329
 Mais uma vez ; 578
 Majestade, glória e majestade ; 6628
 Manda fogo, Senhor ; 8819
 Manso e suave Jesus está chamando ; 1139
 Maravilha é o amor de Deus ; 9979
 Maravilhosa graça ; 2283
 Maravilhoso e sublime pra mim; 2206
 Maravilhoso será ; 5575
 Meditarei nas maravilhas do Senhor ; 7710
 Medo tens que o tentador te vá vencer?; 3312
 Mestre, o mar se revolta ; 3319
 Meu amado filho. ;1145
 Meu barco é pequeno ; 9910
 Meu bom Pastor é Cristo ; 9906
 Meu caminho ponho em suas mãos ; 2237
 Meu coração contente está ; 8802-C
 Meu coração engrandece ao Senhor (Cântico de vitória); 1161
 Meu Deus, meu bom Pastor ; 4433
 Meu Deus, meu Pai ; 9901
 Meu louvor é só pra ti ; 6675
 Meu pecado resgatado ; 1123
 Meu servo, não temas ; 7768
 Minh’alma tem sede de ti ; 3375
 Minha alma, pois, alegre canta ; 5559
 Minha dedicação ; 4436
 Morri na cruz por ti ; 1103
 Motivos tenho pra louvar-te ; 6674
 Muitos anjos louvam ; 6667
 Muitos são os que confiam ; 7771
 Na areia não quero construir ; 9992
 Na casa de meu Pai não há tristeza ; 8800-D
 Na cidade de Davi nasceu o Salvador ; 9995
 Na eternidade ; 7778
 Na expressão deste louvor ; 6627
 Na hora em que eu quiser falar com Deus ; 49
 Na nova Jerusalém irei morar ; 5583
 Na presença de Jesus ; 5577
 Na terra abençoada ; 7809
 Não a nós, Senhor ; 7716
 Não desanimes! Deus proverá ; 3347
 Não existe outro amor igual ao teu, Senhor ; 2295
 Não há amor igual ; 1122
 Não há Deus acima do Senhor; 3382
 Não há Deus tão grande como tu ; 8810
 Não mais vivo eu, mas Cristo vive em mim ; 1163
 Não por força ; 9913
 Não se turbem os vossos corações ; 7774
 Não sei por que de Deus o amor; 2254
 Não sei quando Cristo Jesus há de vir ; 5518
 Não sei se ouviste falar ; 1181
 Não temas, pois te escolhi ; 3386
 Não terei mais tristezas ; 5543
 Não tinha parecer ; 7753
 Não vai tardar ; 5520
 Nas estrelas vejo a sua mão ; 2258
 Nas lindas moradas ; 5574
 Nasceu um novo dia ; 9915
 Nem sempre entendemos ; 3303
 Nesta hora esqueço o mundo ; 37
 Nesta noite feliz ; 570
